hostname	host_ip	host_fqdn	start	end	duration(seconds)
online.rabiesonedata.ku.ac.th	158.108.65.21		Thu, 05 Feb 2026 08:44:48 GMT	Thu, 05 Feb 2026 08:50:34 GMT	346
bi.rabiesonedata.ku.ac.th	158.108.65.22		Thu, 05 Feb 2026 08:44:48 GMT	Thu, 05 Feb 2026 08:50:30 GMT	342
gis.rabiesonedata.ku.ac.th	158.108.65.23		Thu, 05 Feb 2026 08:44:48 GMT	Thu, 05 Feb 2026 09:04:18 GMT	1170
tableau.rabiesonedata.ku.ac.th	158.108.65.24		Thu, 05 Feb 2026 08:44:49 GMT	Thu, 05 Feb 2026 08:49:55 GMT	306
app.rabiesonedata.ku.ac.th	158.108.65.25		Thu, 05 Feb 2026 08:44:49 GMT	Thu, 05 Feb 2026 09:02:50 GMT	1081
labpatho.vet.ku.ac.th	158.108.65.51		Thu, 05 Feb 2026 08:44:49 GMT	Thu, 05 Feb 2026 09:32:16 GMT	2847
labpatho2.vet.ku.ac.th	158.108.65.52		Thu, 05 Feb 2026 08:44:49 GMT	Thu, 05 Feb 2026 09:02:56 GMT	1087
inout.vet.ku.ac.th	158.108.82.23		Thu, 05 Feb 2026 08:44:49 GMT	Thu, 05 Feb 2026 12:25:40 GMT	13251
ctl.vet.ku.ac.th	158.108.82.30		Thu, 05 Feb 2026 08:44:49 GMT	Thu, 05 Feb 2026 09:52:56 GMT	4087
kahis.vet.ku.ac.th	158.108.82.74		Thu, 05 Feb 2026 08:44:49 GMT	Thu, 05 Feb 2026 09:04:02 GMT	1153
camera80.vet.ku.ac.th	158.108.82.110		Thu, 05 Feb 2026 08:44:49 GMT	Thu, 05 Feb 2026 09:08:13 GMT	1404
call-center-2.vet.ku.ac.th	158.108.82.183		Thu, 05 Feb 2026 08:44:54 GMT	Thu, 05 Feb 2026 08:47:43 GMT	169
learn.vet.ku.ac.th	158.108.83.11		Thu, 05 Feb 2026 08:44:54 GMT	Thu, 05 Feb 2026 09:54:23 GMT	4169
ana.vet.ku.ac.th	158.108.83.12		Thu, 05 Feb 2026 08:44:54 GMT	Thu, 05 Feb 2026 08:49:54 GMT	300
ku-vim.vet.ku.ac.th	158.108.219.13		Thu, 05 Feb 2026 08:44:54 GMT	Thu, 05 Feb 2026 09:10:07 GMT	1513
anatomy.vet.ku.ac.th	158.108.219.28		Thu, 05 Feb 2026 08:44:54 GMT	Thu, 05 Feb 2026 09:05:11 GMT	1217
jkv.vet.ku.ac.th	158.108.219.69		Thu, 05 Feb 2026 08:44:55 GMT	Thu, 05 Feb 2026 09:48:15 GMT	3800
las.vet.kps.ku.ac.th	158.108.219.119		Thu, 05 Feb 2026 08:44:55 GMT	Thu, 05 Feb 2026 09:22:11 GMT	2236
parasite.vet.ku.ac.th	158.108.219.121		Thu, 05 Feb 2026 08:44:55 GMT	Thu, 05 Feb 2026 09:33:22 GMT	2907
vetnp.vet.ku.ac.th	158.108.219.149		Thu, 05 Feb 2026 08:44:55 GMT	Thu, 05 Feb 2026 17:23:13 GMT	31098
vptc.vet.ku.ac.th	158.108.219.159		Thu, 05 Feb 2026 08:44:55 GMT	Thu, 05 Feb 2026 09:05:38 GMT	1243
histopath.vet.ku.ac.th	158.108.220.244		Thu, 05 Feb 2026 08:44:59 GMT	Thu, 05 Feb 2026 09:33:55 GMT	2936
rabiesonedata.ku.ac.th	158.108.65.21		Thu, 05 Feb 2026 08:50:34 GMT	Thu, 05 Feb 2026 08:55:51 GMT	317
report.rabiesonedata.ku.ac.th	158.108.65.21		Thu, 05 Feb 2026 08:55:51 GMT	Thu, 05 Feb 2026 09:01:10 GMT	319
thairabiesnet.rabiesonedata.ku.ac.th	158.108.65.21		Thu, 05 Feb 2026 09:01:10 GMT	Thu, 05 Feb 2026 09:06:27 GMT	317
kuvdl.vet.ku.ac.th	158.108.65.25		Thu, 05 Feb 2026 09:02:50 GMT	Thu, 05 Feb 2026 09:20:35 GMT	1065
eactivity.vet.ku.ac.th	158.108.219.28		Thu, 05 Feb 2026 09:05:11 GMT	Thu, 05 Feb 2026 09:25:39 GMT	1228
vthh.vet.ku.ac.th	158.108.219.159		Thu, 05 Feb 2026 09:05:38 GMT	Thu, 05 Feb 2026 11:49:26 GMT	9828
